Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,LEAF1,Ethernet1,l3spine,SPINE1,Ethernet1,True
leaf,LEAF1,Ethernet2,l3spine,SPINE2,Ethernet1,True
leaf,LEAF1,Ethernet3,mlag_peer,LEAF2,Ethernet3,True
leaf,LEAF1,Ethernet4,mlag_peer,LEAF2,Ethernet4,True
leaf,LEAF1,Ethernet5,server,HOSTA,eth1,True
leaf,LEAF2,Ethernet1,l3spine,SPINE1,Ethernet2,True
leaf,LEAF2,Ethernet2,l3spine,SPINE2,Ethernet2,True
leaf,LEAF2,Ethernet3,mlag_peer,LEAF1,Ethernet3,True
leaf,LEAF2,Ethernet4,mlag_peer,LEAF1,Ethernet4,True
leaf,LEAF2,Ethernet5,server,HOSTA,eth2,True
leaf,LEAF3,Ethernet1,l3spine,SPINE1,Ethernet3,True
leaf,LEAF3,Ethernet2,l3spine,SPINE2,Ethernet3,True
leaf,LEAF3,Ethernet3,mlag_peer,LEAF4,Ethernet3,True
leaf,LEAF3,Ethernet4,mlag_peer,LEAF4,Ethernet4,True
leaf,LEAF3,Ethernet5,server,HOSTB,eth1,True
leaf,LEAF4,Ethernet1,l3spine,SPINE1,Ethernet4,True
leaf,LEAF4,Ethernet2,l3spine,SPINE2,Ethernet4,True
leaf,LEAF4,Ethernet3,mlag_peer,LEAF3,Ethernet3,True
leaf,LEAF4,Ethernet4,mlag_peer,LEAF3,Ethernet4,True
leaf,LEAF4,Ethernet5,server,HOSTB,eth2,True
l3spine,SPINE1,Ethernet1,leaf,LEAF1,Ethernet1,True
l3spine,SPINE1,Ethernet2,leaf,LEAF2,Ethernet1,True
l3spine,SPINE1,Ethernet3,leaf,LEAF3,Ethernet1,True
l3spine,SPINE1,Ethernet4,leaf,LEAF4,Ethernet1,True
l3spine,SPINE1,Ethernet5,mlag_peer,SPINE2,Ethernet5,True
l3spine,SPINE1,Ethernet6,mlag_peer,SPINE2,Ethernet6,True
l3spine,SPINE2,Ethernet1,leaf,LEAF1,Ethernet2,True
l3spine,SPINE2,Ethernet2,leaf,LEAF2,Ethernet2,True
l3spine,SPINE2,Ethernet3,leaf,LEAF3,Ethernet2,True
l3spine,SPINE2,Ethernet4,leaf,LEAF4,Ethernet2,True
l3spine,SPINE2,Ethernet5,mlag_peer,SPINE1,Ethernet5,True
l3spine,SPINE2,Ethernet6,mlag_peer,SPINE1,Ethernet6,True
